n,R_mpmath_30,R_float64,max_abs_essential_slack,binding_verified
3,0.260869565217391304347826086957,0.26086956521739135,5.0000000000439516504e-41,True
4,0.844453589560855604347528524674,0.8444535895608556,4.9999999995093987084e-41,True
5,1.69549408120271081351328017371,1.6954940812027108,4.9999999989748457663e-41,True
6,2.79491951889692485617024406797,2.7949195188969247,4.9999999995093987084e-41,True
7,4.15318955374381246513863858202,4.153189553743813,4.9999999995093987084e-41,True
8,5.7677942845896143026361805725,5.767794284585568,4.9999999995093987084e-41,True
9,7.72672655261128921886246177604,7.726726552605912,4.9999999988412075308e-41,True
10,9.97990738586347760966552641468,9.97990738585381,4.9999999995093987084e-41,True
11,12.4887204871876588517468786264,12.488720487173751,4.9999999999103134149e-41,True
12,15.2588704304484933617250043503,15.258870430432122,5.0000000000439516504e-41,True
13,18.3175630472173206282821941532,18.31756304719766,4.9999999991084840018e-41,True
