n,reference_label,certified_R,certified_cycle,interleave_order,certified_cycle_equals_interleave,worst_order,worst_order_R_chain,worst_order_R_full,worst_order_full_differs,interleave_R_full,sequential_R_full,zigzag_R_full
3,CERTIFIED,0.260869565217,"[3, 1, 2]","[3, 1, 2]",True,"[1, 3, 2]",0.260869565217,0.260869565217,False,0.260869565217,0.260869565217,0.260869565217
4,CERTIFIED,0.844453589561,"[4, 1, 3, 2]","[4, 1, 3, 2]",True,"[1, 3, 4, 2]",0.867281640255,0.867281640255,False,0.844453589561,0.861624706310,0.844453589561
5,CERTIFIED,1.695494081203,"[5, 1, 4, 3, 2]","[5, 1, 4, 3, 2]",True,"[1, 3, 5, 4, 2]",1.778550949884,1.778550949884,False,1.695494081203,1.755667329987,1.700039250256
6,CERTIFIED,2.794919518897,"[6, 1, 5, 3, 4, 2]","[6, 1, 5, 3, 4, 2]",True,"[1, 3, 5, 6, 4, 2]",3.000138442323,3.000138442323,False,2.794919518897,2.946384414962,2.800364139401
7,CERTIFIED,4.153189553744,"[7, 1, 6, 3, 4, 5, 2]","[7, 1, 6, 3, 4, 5, 2]",True,"[1, 3, 5, 7, 6, 4, 2]",4.537467833562,4.537467833562,False,4.153189553744,4.439564401616,4.169563309104
8,CERTIFIED,5.767794284586,"[8, 1, 6, 4, 5, 3, 7, 2]","[8, 1, 7, 3, 5, 4, 6, 2]",False,"[1, 3, 5, 7, 8, 6, 4, 2]",6.393358320114,6.393358320114,False,5.798221443020,6.239515822249,5.816929942511
9,CERTIFIED,7.726726552606,"[9, 2, 8, 1, 5, 6, 4, 7, 3]","[9, 1, 8, 3, 6, 5, 4, 7, 2]",False,"[1, 3, 5, 7, 9, 8, 6, 4, 2]",8.568988935955,8.568988935955,False,7.830119608692,8.349180788875,7.866374694183
10,CERTIFIED,9.979907385854,"[10, 2, 9, 4, 7, 1, 6, 5, 8, 3]","[10, 1, 9, 3, 7, 5, 6, 4, 8, 2]",False,"[1, 3, 5, 7, 9, 10, 8, 6, 4, 2]",11.064726494858,11.064726494858,False,10.116267507645,10.770569064555,10.153849037756
11,CERTIFIED,12.488720487174,"[11, 2, 10, 4, 8, 6, 7, 1, 5, 9, 3]","[11, 1, 10, 3, 8, 5, 6, 7, 4, 9, 2]",False,"[1, 3, 5, 7, 9, 11, 10, 8, 6, 4, 2]",13.880577932626,13.880577932626,False,12.669098445392,13.505083359128,12.728796800403
12,CERTIFIED,15.258870430432,"[12, 2, 11, 4, 9, 6, 7, 8, 5, 1, 10, 3]","[12, 1, 11, 3, 9, 5, 7, 6, 8, 4, 10, 2]",False,"[1, 3, 5, 7, 9, 11, 12, 10, 8, 6, 4, 2]",17.016408238128,17.016408238128,False,15.472803129641,16.553728901557,15.533366571603
13,CERTIFIED,18.317563047198,"[13, 3, 1, 12, 2, 10, 6, 8, 7, 9, 5, 11, 4]","[13, 1, 12, 3, 10, 5, 8, 7, 6, 9, 4, 11, 2]",False,"[1, 3, 5, 7, 9, 11, 13, 12, 10, 8, 6, 4, 2]",20.472039120681,20.472039120681,False,18.616172454228,19.917245167512,18.661506558497
14,CERTIFIED,21.665395182192,"[14, 3, 13, 2, 9, 8, 7, 10, 6, 11, 5, 1, 12, 4]","[14, 1, 13, 3, 11, 5, 9, 7, 8, 6, 10, 4, 12, 2]",False,"[1, 3, 5, 7, 9, 11, 13, 14, 12, 10, 8, 6, 4, 2]",24.247291190092,24.247291190092,False,22.101898633920,23.596189462435,22.144067075484
15,NON-EXHAUSTIVE,25.290151636714,"[15, 3, 14, 5, 12, 2, 9, 1, 8, 10, 7, 11, 6, 13, 4]","[15, 1, 14, 3, 12, 5, 10, 7, 8, 9, 6, 11, 4, 13, 2]",False,"[1, 3, 5, 7, 9, 11, 13, 15, 14, 12, 10, 8, 6, 4, 2]",28.342000288518,28.342000288518,False,25.856030679700,27.590991056823,25.924081919541
16,NON-EXHAUSTIVE,29.194988498141,"[16, 1, 4, 14, 6, 12, 8, 10, 9, 2, 11, 7, 13, 5, 15, 3]","[16, 1, 15, 3, 13, 5, 11, 7, 9, 8, 10, 6, 12, 4, 14, 2]",False,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 14, 12, 10, 8, 6, 4, 2]",32.756022334220,32.756022334220,False,29.864231024549,31.901987090683,29.928938511465
17,NON-EXHAUSTIVE,33.394425022062,"[17, 4, 16, 3, 15, 6, 1, 13, 8, 11, 10, 9, 2, 12, 7, 14, 5]","[17, 1, 16, 3, 14, 5, 12, 7, 10, 9, 8, 11, 6, 13, 4, 15, 2]",False,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 16, 14, 12, 10, 8, 6, 4, 2]",37.489233291550,37.489233291550,False,34.137969715195,36.529446960821,34.231298551910
18,NON-EXHAUSTIVE,37.870755667393,"[18, 4, 17, 3, 14, 8, 12, 10, 11, 9, 2, 13, 7, 15, 6, 16, 1, 5]","[18, 1, 17, 3, 15, 5, 13, 7, 11, 9, 10, 8, 12, 6, 14, 4, 16, 2]",False,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 18, 16, 14, 12, 10, 8, 6, 4, 2]",42.541527273519,42.541527273519,False,38.747180454944,41.487527250479,38.786872995257
