n,frontier_size,evaluated_in_frontier,complete,k,stage_b_candidates,global_heap_covers_threshold,path
3,1,1,True,20000,1,True,results\frontiers\n03_frontier.json
4,1,1,True,20000,3,True,results\frontiers\n04_frontier.json
5,1,1,True,20000,12,True,results\frontiers\n05_frontier.json
6,1,1,True,20000,60,True,results\frontiers\n06_frontier.json
7,1,1,True,20000,360,True,results\frontiers\n07_frontier.json
8,1,1,True,20000,1024,True,results\frontiers\n08_frontier.json
9,1,1,True,20000,1024,True,results\frontiers\n09_frontier.json
10,4,4,True,20000,1024,True,results\frontiers\n10_frontier.json
11,6,6,True,20000,1024,True,results\frontiers\n11_frontier.json
12,9,9,True,20000,1024,True,results\frontiers\n12_frontier.json
13,10,10,True,20000,1024,True,results\frontiers\n13_frontier.json
14,11,11,True,50000,1024,True,results\frontiers\n14_frontier.json
